id,title,summary,publication_date,source,url,category
1,Dozens killed in Russian strike on military educational facility in central Ukraine,"A Russian strike against a military educational facility in central Ukraine killed 49 people and injured at least 219 others, according to a Ukrainian regional military official, in one of the deadliest single attacks since the start of Moscow’s full-scale invasion in February 2022. President Volodymyr Zelensky said preliminary information indicated two ballistic missiles hit the facility in the city of Poltava and a nearby hospital on Tuesday morning.",2024-09-03T11:39:38.452Z,CNN,https://www.cnn.com/2024/09/03/europe/ukraine-poltava-russia-attack-intl/index.html,Other
2,Cathay Pacific inspects entire A350 fleet after finding engine problems,"Hong Kong’s flag carrier Cathay Pacific has canceled dozens of flights as it conducts an inspection of its entire Airbus A350 fleet after finding engine problems affecting the plane. The airline, one of the world’s largest users of the long-haul jet, said it identified an engine component failure on flight CX383 from Hong Kong to Zurich on Monday.",2024-09-03T01:13:01.240Z,CNN,https://www.cnn.com/2024/09/02/business/hong-kong-cathay-pacific-a350-hnk-intl/index.html,Other
3,More than 10 dead as bus crashes into students and parents outside school in China,"A bus crashed into a crowd of students and parents outside a school in eastern China on Tuesday morning, killing 11 people and injuring 13 others, according to police and state media. The students were waiting to enter the gate of a middle school in Tai’an city in Shandong province when the bus slammed into them after 7 a.m., state news agency Xinhua reported.",2024-09-03T06:14:40.381Z,CNN,https://www.cnn.com/2024/09/03/china/china-shandong-school-bus-crash-intl-hnk/index.html,Education
4,How long do we have until sea level rise swallows coastal cities? This fleet of ocean robots will help find out,"A team of NASA rocket scientists is developing autonomous underwater robots able to go where humans cannot, deepbeneath Antarctica’s giant ice shelves. The robots’ task is to better understand how rapidly ice is melting — and how quickly that could causecatastrophic sea level rise.",2024-09-03T08:00:19.703Z,CNN,https://www.cnn.com/2024/09/03/climate/sea-level-rise-antarctica-robots/index.html,Other
5,The $10 million cocktail everyone is drinking at the US Open,"At the US Open currently underway in New York, a single cocktail will surpass $10 million in sales before the tennis grand slam event ends September 8. The drink’s sales alone could cover the combined championship prize money for both the male and female singles winner —$3.6 million eachthis year.",2024-09-03T09:00:20.777Z,CNN,https://www.cnn.com/2024/09/03/food/honey-deuce-us-open-cocktail-popularity/index.html,Other
6,"Chair yoga is not just for older people. It’s good for everyone, especially the desk-bound","Sign up for CNN’s Fitness, But Better newsletter series.Our seven-part guide will help you ease into a healthy routine, backed by experts. Sitting down to exercise may not seem to make sense on first glance.",2024-09-03T09:34:18.844Z,CNN,https://www.cnn.com/2024/09/03/health/chair-yoga-flexibility-stress-relief-wellness/index.html,Other
7,Exclusive: John McCain’s son decries Trump appearance at Arlington as a ‘violation’ that turned cemetery into campaign backdrop,Jimmy McCain will be interviewed on “The Lead with Jake Tapper” at 4 p.m. ET on Tuesday.,2024-09-03T16:00:02.927Z,CNN,https://www.cnn.com/2024/09/03/politics/jimmy-mccain-decries-trump-arlington-appearance/index.html,Other
8,Trump’s hardline new quest to destroy Harris’ momentum,"Donald Trumpis trying to crush Democratic nominee Kamala Harris’ persona as a force of change and to destroy her personal credibility as a potential president as their still-fresh competitioncareens into the final nine weeksbefore Election Day. In recent days, the ex-president has unveiled a broad assault using the insult-driven politics with which he won power in 2016, even as his advisers have been pleading with him to focus his attention on top voter concerns including high prices and immigration.",2024-09-03T04:00:19.738Z,CNN,https://www.cnn.com/2024/09/03/politics/trump-quest-destroy-harris-momentum/index.html,Politics
9,New poll shows whether Harris or Trump is leading in favorability rating,A new poll conducted by ABC News and IPSOS shows that Vice President Kamala Harris has a wide lead over former President Donald Trump in favorability rating. A panel of political experts joins CNN’s Alex Marquardt to discuss the impact on the race for the White House..,2024-09-03T01:40:29.259Z,CNN,https://www.cnn.com/2024/09/02/politics/video/harris-trump-favorability-poll-digvid,Other
10,Analysis: Trump is still telling lies he told eight years ago,"In a speech last week to the National Guard Association of the United States, former PresidentDonald Trumpclaimedthat he was the president who “created” the Veterans Choice health care program, and got it “passed in Congress,” after others had wanted to do so “for 57 years.” In reality, President Barack Obama was the president whosignedthe program into law in 2014. The law Trump signed in 2018, the VA MISSION Act, expanded the Veterans Choice program but didn’t create it.",2024-09-03T09:00:19.775Z,CNN,https://www.cnn.com/2024/09/03/politics/trump-fact-checking-analysis/index.html,Health
11,"Judge issues preliminary injunction on Trump campaign use of the song ‘Hold On, I’m Coming’","A federal judge has ruled former President Donald Trump and his campaign must pause on using the song “Hold On, I’m Coming.” The decision came after the estate of the late R&B artist and songwriter Isaac Hayes sought an emergency injunction to stop the Trump campaign from using the song at campaign events, alleging the campaign does not have approval. Judge Thomas Thrash Jr.",2024-09-03T14:46:23.333Z,CNN,https://www.cnn.com/2024/09/03/entertainment/isaac-hayes-donald-trump-song/index.html,Other
12,‘Hide your children’: Hear Axelrod’s warning amid ‘tough’ presidential race,CNN Senior Political Commentator David Axelrod joins CNN to discuss the state of the presidential race between Donald Trump and Kamala Harris ahead of their debate on September 10. It will be the first time the candidates will face off since Democrats upended their ticket this summer..,2024-09-03T15:16:21.253Z,CNN,https://www.cnn.com/2024/09/03/politics/video/david-axelrod-harris-trump-presidential-race-sot-cnc-digvid,Other
13,Dozens killed in Russian strike on military educational facility in central Ukraine,"A Russian strike against a military educational facility in Poltava, central Ukraine, has killed 41 people and injured more than 180 others, the country’s President Volodymyr Zelensky said on Tuesday. CNN’s Fred Pleitgen reports. .",2024-09-03T12:49:01.332Z,CNN,https://www.cnn.com/2024/09/03/world/video/russian-strike-facility-ukraine-pleitgen-digvid,Other
14,Hamas’ brutal new tactics signal new phase in war and hostage crisis,"With its announcement that militants guarding Israeli hostages in the buildings and tunnels of Gaza had “new instructions” to kill them If Israeli troops closed in, Hamas signalled the opening of a chilling new chapter in an already brutal war. Seizing on a spasm of public outrage in Israel at Prime Minister Benjamin Netanyahu’s inability to bring home the remaining hostages, Hamas released a comic-book style image of a kneeling figure threatened with a gun﻿, followed by a video of Eden Yerushalmi, 24, a bartender at the Nova music festival and one ofsix hostageswho Israel says were shot at close range in Hamas captivity last week before Israeli forces could reach them.",2024-09-03T17:01:17.675Z,CNN,https://www.cnn.com/2024/09/03/middleeast/hamas-israel-hostage-deal-raise-stakes-intl/index.html,Entertainment
15,Netanyahu defiant as protesters demanding a ceasefire-for-hostages deal bring Israel to a halt,"Hundreds of thousands of protesters took to Israel’s streets in fresh fury on Monday over the government’s failure to secure a ceasefire-for-hostages deal with Hamas. Demonstrations could be seen in Jerusalem, Tel Aviv, Caesarea and other sites across the country, fueled by the killing in Gaza of six hostages, whose bodies were retrieved by Israeli soldiers this weekend.",2024-09-02T06:36:51.623Z,CNN,https://www.cnn.com/2024/09/02/middleeast/israel-general-strike-hostage-deal-intl-hnk/index.html,Politics
16,Members of Turkish national youth organization in custody after assault on US Marines,"More than a dozen members of a Turkish national youth organization were taken into custody in Turkey after local authorities say they assaulted two US Marines. The Marines, assigned to the 24th Marine Expeditionary Unit, were on liberty in Izmir when the assault occurred Monday afternoon, the US Sixth Fleet said in a statement.",2024-09-02T23:15:58.580Z,CNN,https://www.cnn.com/2024/09/02/politics/us-marines-turkey-assault/index.html,Other
17,Former aide to New York governor charged with acting as an agent of the Chinese government,"A former aide to New York Gov. Kathy Hochul was charged with acting as an agent for the Chinese government, US Attorney Breon Peace announced Tuesday.",2024-09-03T16:10:42.367Z,CNN,https://www.cnn.com/2024/09/03/us/linda-sun-former-hochul-staff-arrest/index.html,Politics
18,At least 12 dead after boat carrying migrants sinks in the English Channel,"At least 12 people died when a migrantboat capsizedoff the coast of Cap Gris-Nez, in northernFrance, on Tuesday, according to French authorities. Nearly 70 people were on board the vessel, according to Boulogne-sur-Mer mayor, Frédéric Cuvillier.",2024-09-03T14:01:49.587Z,CNN,https://www.cnn.com/2024/09/03/europe/english-channel-migrant-boat-deaths-intl/index.html,Other
19,Two rescued from stricken yacht ‘at the mercy of the elements’ in 24-hour ordeal,"Two people have been rescued after a terrifying night at sea as six-meter (20-foot) waves tossed their stricken yacht nearly 200 miles (322 kilometers) off Australia’s eastern coast as they drifted at speed towards New Zealand. Authorities were first alerted to the crew’s crisis around 1pm on Monday, when they deployed a distress beacon, but it was hours before the first rescue helicopters located the vessel.",2024-09-03T04:28:36.322Z,CNN,https://www.cnn.com/2024/09/03/australia/yacht-rescue-off-nsw-coast-intl-hnk/index.html,Other
20,Video shows Turkish group assaulting US Marines,More than a dozen members of a Turkish national youth organization were taken into custody in the port city of Izmir after local authorities say they assaulted two US Marines.,2024-09-03T14:22:51.113Z,CNN,https://www.cnn.com/2024/09/03/world/video/video-us-marines-turkey-assaulted-digvid,Other
21,At least 129 killed during mass prison break attempt in DR Congo,"More than 120 people have been killed in an attempted mass breakout from the largest prison in the Democratic Republic of Congo, the latest in a series of violent attacks on jails in the central African nation. Prisoners tried to break out en masse from the Makala Central Prison in the capital, Kinshasa, at around 2 a.m.",2024-09-03T12:01:28.422Z,CNN,https://www.cnn.com/2024/09/03/africa/dr-congo-prison-break-intl/index.html,Other
22,"Hewlett Packard won’t drop its $4 billion UK claim against Mike Lynch, who died along with his daughter when his yacht sank","London— Hewlett Packard Enterprise has said it won’t drop its UK claim for damages against the estate of British tech mogulMike Lynch, whodiedwhen his superyacht sank last month. Britain’s High Court in 2022 ruled mostly in favor of the US technology company, which accused Lynch and his former finance director of fraud over its $11 billion takeover of his software company Autonomy.",2024-09-03T13:28:17.324Z,CNN,https://www.cnn.com/2024/09/03/business/hewlett-packard-uk-claim-mike-lynch/index.html,Technology
23,"Firearms worth more than $134,000 stolen in daring museum heist","Thieves stole 27 handguns worth more than $134,000 from a firearms museum in Australia. The guns could be operational, according to the North South Wales Police Force..",2024-09-03T14:13:51.174Z,CNN,https://www.cnn.com/2024/09/03/world/video/handguns-heist-australia-museum-digvid,Other
24,Airline forced to rebalance planes because first class seats are too heavy,"The desire to fly in style weighs heavily on most of us – but for some first-class flyers it weighs the heaviest of all. Swiss – Switzerland’s flag carrier – is having to make alterations to some of its aircraft because new first class seats, due to be installed as a much needed revamp, are proving to be too heavy.",2024-09-03T13:37:52.819Z,CNN,https://www.cnn.com/2024/09/03/travel/swiss-airline-first-class-seats-too-heavy/index.html,Fashion
25,Old Hollywood glamour hits the Venice Film Festival red carpet,"What year is it again? Some of the looks on the red carpet at the 81st Venice Film Festival could suggest the year was 1924, rather than 2024. Since the 11 day event began on August 28, attendees have given elegant nods to old Hollywood glamour: from time-honored dress silhouettes to vintage-inspired accessories.",2024-08-30T13:56:36.185Z,CNN,https://www.cnn.com/2024/08/30/style/venice-film-festival-2024-red-carpet/index.html,Other
26,Conway says Trump’s new indictment case is stronger. Here’s why,Conservative lawyer George Conway shares his thoughts on the new version of the indictment against former President Donald Trump for the election interference case.,2024-09-03T15:06:37.730Z,CNN,https://www.cnn.com/2024/09/03/politics/video/george-conway-trump-indictment-digvid,Politics
27,A body has been recovered as the search for 2 boaters continues after Connecticut vessel crash,"The search continues for two people still missing after a man’s body was recovered from the wreckage of a motorboat that crashed Monday night at the mouth of the Connecticut River, state officials said. Nine people were aboard the boat when it hit a break wall at high speed and broke into pieces near Harbor One Marina in Old Saybrook, Connecticut, according to Joey Kellems, lead command center controller with the US Coast Guard’s Long Island Sound sector.",2024-09-03T06:59:13.404Z,CNN,https://www.cnn.com/2024/09/03/us/old-saybrook-connecticut-boat-crash-search/index.html,Other
28,"Jannik Sinner defeats American Tommy Paul, sets up blockbuster US Open quarterfinal clash with Daniil Medvedev","Jannik Sinnerwas clutch when he needed it, getting past American Tommy Paul to advance to theUS Openquarterfinals 7-6(3), 7-6(5), 6-1 on Monday night at Arthur Ashe Stadium. The world No.",2024-09-03T08:20:14.110Z,CNN,https://www.cnn.com/2024/09/03/sport/jannik-sinner-tommy-paul-us-open-spt-intl/index.html,Other
29,See inside Jennifer Garner’s tranquil farmhouse-style home,"Since building a home for herself and her three kids over the past few years, Jennifer Garner has shown glimpses of the sunny farmhouse dwelling through her social media posts. The kitchen’s exposed wood beams and stone fireplace can be seen as she carries her fluffy cat, Moose, to places in the home he’s “never seen before” (inside the refrigerator and microwave, up high to peer at the family aquarium).",2024-09-03T12:02:33.907Z,CNN,https://www.cnn.com/2024/09/03/style/jennifer-garner-home-ad/index.html,Other
30,Justice Ketanji Brown Jackson reflects on ‘groundbreaking’ path to the Supreme Court in new memoir,"JusticeKetanji Brown Jacksonis using a new memoir published Tuesday to reflect on a personal journey that has already earned her a place in history. Jackson recalls sinking into her chair when she was an appeals court judge – her blood “a roaring ocean in my ears” – when President Joe Biden called in early 2022 to say he would nominate her to the high court, setting her on a path to become the first Black woman to serve as a Supreme Court justice.",2024-09-03T15:01:11.175Z,CNN,https://www.cnn.com/2024/09/03/politics/ketanji-brown-jackson-new-memoir/index.html,Other
31,Your children’s smartphones aren’t making them smarter,"Get inspired by a weekly roundup on living well, made simple.Sign up for CNN’s Life, But Better newsletter for information and tools designed to improve your well-being As kids head back to school, many schools aren’t allowing them to bring their phones to class.Legislationto ban phones in schools has been proposed or passed in many cities and states. Most schools already have policies prohibiting them for nonacademic use, according to theNational Center for Education Statistics.",2024-09-02T08:00:19.634Z,CNN,https://www.cnn.com/2024/09/02/health/phones-allowed-school-children-wellness/index.html,Education
32,Jenna Ortega shares hilarious encounter with a drunk Beetlejuice: ‘He terrified me’,CNN’s Elizabeth Wagmeister spoke with the stars of “Beetlejuice Beetlejuice” about the timing of the sequel to the iconic 1988 film and Jenna Ortega’s hilarious childhood encounter with a terrifying Beetlejuice.,2024-09-02T14:42:46.936Z,CNN,https://www.cnn.com/2024/09/02/entertainment/video/beetlejuice-movie-stars-interview-wagmeister-digvid,Other
33,New Titanic photos show major decay to legendary wreck,"Sign up for CNN’s Wonder Theory science newsletter.Explore the universe with news on fascinating discoveries, scientific advancements and more In the years since theTitanicsank after hitting an iceberg in 1912, we have become familiar with haunting images of the doomed passenger liner’s bow, lying at the bottom of the North Atlantic Ocean. Now, new photos taken this summer show that the view has changed dramatically.",2024-09-02T16:16:59.166Z,CNN,https://www.cnn.com/2024/09/02/science/titanic-photos-show-major-decay-intl-scli/index.html,Science
34,"The tallest Paralympian in history was forced to sleep on the floor in Paris. Now, he has a bed that fits him","Morteza Mehrzadselakjani, the tallestParalympianin history, has had to sleep on the floor at theParis 2024 Gamesafter not having a bed he’s able to fit in, but the situation “has now been resolved,” the IPC told CNN. Mehrzadselakjani – better known as Mehrzad – is two meters, 46 centimeters (eight-foot-one-inch) tall and is the joint-second tallest man in the world.",2024-09-03T15:17:06.818Z,CNN,https://www.cnn.com/2024/09/03/sport/morteza-mehrzadselakjani-sleep-paralympics-spt-intl/index.html,Other
35,Who are the ‘armless archers’ going viral at the Paralympic Games?,"Before Matt Stutzman, an athlete with no arms competing inpara archeryseemed like an impossible feat. But the Americanarcherhas redefined the sport, showing that it’s possible to not only hold a bow with one leg, pull the bowstring back with one’s jaw, hold all the tension and potential energy and release an arrow, but to do so with an accuracy so unerring that it won him a gold medal with a Paralympic record score of 149 on Sunday.",2024-09-03T12:17:44.488Z,CNN,https://www.cnn.com/2024/09/03/sport/armless-archers-viral-paralympics-spt-intl/index.html,Other
36,Oksana Masters: ‘Sports really taught me it was okay to take my legs off in front of people and to still be powerful’,She already has 17 Paralympic medals to her name across four Summer and Winter Games disciplines – more than most athletes could even dream of. Yet Team USA athlete Oksana Masters says she still has “so many things” motivating her ahead of the Paralympic Games – including defending the two para-cycling gold medals that she earned in Tokyo.,2024-09-03T08:37:58.074Z,CNN,https://www.cnn.com/2024/09/03/sport/oksana-masters-paralympics-coy-wire-intl-spt/index.html,Other
37,Beauty queen at center of South Africa xenophobia spat crowned Miss Universe Nigeria,"Chidimma Adetshina, abeauty pageantcontestant who faced a wave of hostility in South Africa after questions arose about her nationality, has been crowned Miss Universe Nigeria. Adetshina, age 23,triumphedat the pageant held in Lagos on Saturday night.",2024-09-02T11:15:44.024Z,CNN,https://www.cnn.com/2024/09/02/style/chidimma-adetshina-wins-nigeria-intl-scli/index.html,Other
38,Richard Gere jokes he and Julia Roberts had ‘no chemistry’ in the ‘tiny movie’ ‘Pretty Woman’,"Richard Gere had some thoughts reminiscing about his hit 1990 film “Pretty Woman.” While appearing over the weekend at a masterclass during the 81st Venice Film Festival, Gere joke that he and costar Julia Roberts had“no chemistry” in a scene where his character, wealthy businessman Edward, undresses Robert’s character, Vivian. “This actor and this actress obviously had no chemistry between them,” Gere said.",2024-09-02T17:45:17.878Z,CNN,https://www.cnn.com/2024/09/02/entertainment/richard-gere-julia-roberts-pretty-woman/index.html,Other
39,Investigators search for answers in Chicago train shooting that killed 4 passengers,Authorities are searching for answers after a suspect was taken into custody in connection with the fatal shooting of four passengers who appeared to be sleeping on a Chicago Transit Authority train early Monday morning. A suspect – who has not been publicly identified – was detained about 90 minutes after the shooting was reported around 5:30 a.m.,2024-09-03T12:57:08.295Z,CNN,https://www.cnn.com/2024/09/03/us/chicago-train-shooting-tuesday/index.html,Other
40,"This Army base has a bigger population than some US cities, but is located far from home","Camp Humphreys in South Korea is the largest US military base overseas, with a population bigger than some US cities and costing over $10 billion. CNN’s Mike Valerio reports on how the US Army has made the base feel like home..",2024-09-02T09:23:57.352Z,CNN,https://www.cnn.com/2024/09/02/world/video/camp-humphreys-military-base-south-korea-ldn-digvid,Other
